"Model"	"Displ"	"Cyl"	"Trans"	"Drive"	"Fuel"	"Veh.Class"	"Air.Pollution.Score"	"City.MPG"	"Hwy.MPG"	"Cmb.MPG"	"Greenhouse.Gas.Score"	"dataYear"
"NISSAN Versa"	1.8	4	"CVT"	"2WD"	"Gasoline"	"small car"	6	28	34	30	7	"12"
"NISSAN Versa"	1.8	4	"Man-6"	"2WD"	"Gasoline"	"small car"	5	26	31	28	7	"12"
"NISSAN Versa"	1.8	4	"Man-6"	"2WD"	"Gasoline"	"small car"	6	26	31	28	7	"12"
"NISSAN Xterra"	4	6	"Auto-5"	"4WD"	"Gasoline"	"SUV"	5	15	20	17	2	"12"
"NISSAN Xterra"	4	6	"Auto-5"	"4WD"	"Gasoline"	"SUV"	6	15	20	17	2	"12"
"NISSAN Xterra"	4	6	"Auto-5"	"4WD"	"Gasoline"	"SUV"	5	15	20	17	2	"12"
"NISSAN Xterra"	4	6	"Auto-5"	"2WD"	"Gasoline"	"SUV"	5	16	22	18	3	"12"
"NISSAN Xterra"	4	6	"Auto-5"	"2WD"	"Gasoline"	"SUV"	6	16	22	18	3	"12"
"NISSAN Xterra"	4	6	"Auto-5"	"2WD"	"Gasoline"	"SUV"	5	16	22	18	3	"12"
"NISSAN Xterra"	4	6	"Man-6"	"4WD"	"Gasoline"	"SUV"	5	16	20	17	2	"12"
"NISSAN Xterra"	4	6	"Man-6"	"4WD"	"Gasoline"	"SUV"	6	16	20	17	2	"12"
"NISSAN Xterra"	4	6	"Man-6"	"4WD"	"Gasoline"	"SUV"	5	16	20	17	2	"12"
"PORSCHE 911 C4 GTS"	3.8	6	"Auto-7"	"4WD"	"Gasoline"	"small car"	5	18	26	21	4	"12"
"PORSCHE 911 C4 GTS"	3.8	6	"Auto-7"	"4WD"	"Gasoline"	"small car"	5	18	26	21	4	"12"
"PORSCHE 911 C4 GTS"	3.8	6	"Man-6"	"4WD"	"Gasoline"	"small car"	5	18	25	21	4	"12"
"PORSCHE 911 C4 GTS"	3.8	6	"Man-6"	"4WD"	"Gasoline"	"small car"	5	18	25	21	4	"12"
"PORSCHE 911 C4 GTS Cabriolet"	3.8	6	"Auto-7"	"4WD"	"Gasoline"	"small car"	5	18	27	21	4	"12"
